ID,Groups,Description,Baseline [02-10 10:11],[02-10 13:56],[02-10 14:05],[06-05 11:06]
,buildkit_skip.yaml marker file,skip file excludes project from versioner,--/OK,--/OK,--/OK,X/OK
,compiler,--dry-run shows commands without executing,--/OK,--/OK,--/OK,X/OK
BKT_NEG02,negative (ineligible context),:macro rejected when buildkit_master.yaml absent,--/OK,--/OK,--/OK,OK/OK
BKT_NEG03,negative (ineligible context),pipeline name rejected when buildkit_master.yaml absent,--/OK,--/OK,--/OK,OK/OK
BKT_NEG01,negative (ineligible context),:define rejected when buildkit_master.yaml absent,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,versioner excludes _build by basename,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,cleanup excludes _build by basename,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,compiler excludes _build by basename,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,dependencies excludes _build by basename,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,runner excludes devops/tom_build_cli by basename,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,bumpversion excludes by basename (bug #13 FIXED),--/OK,--/OK,--/OK,OK/OK
,--exclude-projects basename patterns,glob pattern excludes multiple projects,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects path patterns,path pattern excludes core/* projects,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects path patterns,path pattern excludes devops/** from runner,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects path patterns,** glob matches nested paths in dependencies,--/OK,--/OK,--/OK,OK/OK
,--exclude-projects path patterns,combined basename + path patterns,--/OK,--/OK,--/OK,OK/OK
,macros,undefine removes a macro,--/OK,--/OK,--/OK,OK/OK
,macros,define creates a macro and defines lists it,--/OK,--/OK,--/OK,OK/OK
,buildkit,unknown pipeline name produces clear error,--/OK,--/OK,--/OK,OK/OK
,macros,defines shows no macros when none defined,--/OK,--/OK,--/OK,OK/OK
,stdin,stdin pipeline executes command with piped input,--/OK,--/OK,--/OK,OK/OK
,stdin,stdin pipeline dry-run prints command and stdin lines,--/OK,--/OK,--/OK,OK/OK
,help,help pipelines shows pipeline configuration reference,--/OK,--/OK,--/OK,OK/OK
,buildkit,--project with non-existent path gives clear error,--/OK,--/OK,--/OK,OK/OK
,buildkit --exclude-projects,buildkit excludes _build by basename,--/OK,--/OK,--/OK,OK/OK
,buildkit --exclude-projects,buildkit excludes by path pattern,--/OK,--/OK,--/OK,OK/OK
,path validation,--scan rejects paths outside workspace,--/OK,--/OK,--/OK,OK/OK
,master YAML exclude-projects,master YAML exclude-projects filters projects,--/OK,--/OK,--/OK,OK/OK
,master YAML exclude-projects,master YAML path pattern exclude-projects,--/OK,--/OK,--/OK,OK/OK
,buildkit,--exclude and --exclude-projects combined,--/OK,--/OK,--/OK,OK/OK
,buildkit,--exclude-projects filters pipeline targets,--/OK,--/OK,--/OK,OK/OK
,baseline (no exclusion),runner finds projects without exclusions,--/OK,--/OK,--/OK,OK/OK
BK-EXEC-1,:execute basic,Execute echo with folder.name placeholder [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-2,:execute basic,Execute with folder.relative placeholder [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-3,:execute basic,Execute skips projects with buildkit_skip.yaml [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-4,:execute basic,Execute with --dry-run does not run commands [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-5,:execute placeholders,dart.exists ternary resolves correctly [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-6,:execute placeholders,root placeholder resolves to workspace root [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-7,:execute placeholders,folder placeholder resolves to absolute path [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-8,:execute with navigation,-p project filter limits execute to one project [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-9,:execute with navigation,-x exclude removes matching projects [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-10,:execute with navigation,Git inner-first with :execute [2026-06-30],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-11,:execute with conditions,--condition dart.exists filters non-Dart projects [2026-06-30],--/OK,--/OK,--/OK,OK/OK
,buildkit,shell command execution in pipeline,--/OK,--/OK,--/OK,OK/OK
BK-EXEC-14,:execute -c short flag,-c dart.exists filters non-Dart projects [2026-07-01],--/OK,--/OK,--/OK,OK/OK
BK-EXEC-13,:execute %{} syntax,%{folder.name} resolves correctly (not passed through literally) [2026-07-01],--/OK,--/OK,--/OK,OK/OK
,version argument,"displays version info with ""version"" as first arg",--/OK,--/OK,--/OK,OK/OK
,--help flag,displays usage information,--/OK,--/OK,--/OK,OK/OK
,--list with --scan,lists discovered projects with --scan and --recursive,--/OK,--/OK,--/OK,OK/OK
,--exclude glob filtering,--exclude removes matching directories from scan,--/OK,--/OK,--/OK,OK/OK
,--recursion-exclude,prevents scanning into excluded directories,--/OK,--/OK,--/OK,OK/OK
,buildkit,per-step option suppression (-s-),--/OK,--/OK,--/OK,OK/OK
,buildkit,--dry-run before pipeline name works correctly,--/OK,--/OK,--/OK,OK/OK
,compiler,--list shows compiler-configured projects,--/OK,--/OK,--/OK,OK/OK
,protected resources,"builtin protected folders (.git, .github) survive cleanup",--/OK,--/OK,--/OK,OK/OK
,buildkit,pipeline execution runs all steps,--/OK,--/OK,--/OK,OK/OK
,compiler,--targets filters compilation to specific platforms,--/OK,--/OK,--/OK,OK/OK
,compiler,placeholder resolution in commandlines,--/OK,--/OK,--/OK,OK/OK
,buildkit,direct command execution (:versioner),--/OK,--/OK,--/OK,OK/OK
,buildkit,--help shows usage information,--/OK,--/OK,--/OK,OK/OK
,buildkit,--list shows available pipelines,--/OK,--/OK,--/OK,OK/OK
,cleanup,--list shows cleanup-configured projects,--/OK,--/OK,--/OK,OK/OK
,BuiltinCommands.isBuiltin,returns true for unique shorthand,OK/OK,OK/OK,OK/OK,OK/OK
,BuiltinCommands.isBuiltin,returns true for command with arguments,OK/OK,OK/OK,OK/OK,OK/OK
,BuiltinCommands.isBuiltin,returns true for full command names,OK/OK,OK/OK,OK/OK,OK/OK
,resolveShorthand,resolves all full command names,OK/OK,OK/OK,OK/OK,OK/OK
,runner,--list shows runner-eligible projects,--/OK,--/OK,--/OK,OK/OK
,resolveShorthand,returns null for no match,OK/OK,OK/OK,OK/OK,OK/OK
BK-EXEC-12,:execute with conditions,--condition with non-existent condition skips all [2026-06-30],--/OK,--/OK,--/OK,OK/OK
,resolveShorthand,returns null for ambiguous prefix,OK/OK,OK/OK,OK/OK,OK/OK
,resolveShorthand,resolves unique prefix to full command,OK/OK,OK/OK,OK/OK,OK/OK
,,Bug #13 FIXED: --help works after removing -v abbreviation,--/OK,--/OK,--/OK,OK/OK
,resolveShorthand,is case-insensitive,OK/OK,OK/OK,OK/OK,OK/OK
,resolveShorthand,returns exact match for full command name,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,preserves backslash escapes in quoted strings,OK/OK,OK/OK,OK/OK,OK/OK
,,build counter reset after bump,--/OK,--/OK,--/OK,OK/OK
,parseCommandArgs,handles string with only whitespace,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,handles empty string,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,handles multiple spaces between arguments,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,parses mixed quoted and unquoted arguments,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,parses single-quoted strings as single argument,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,parses double-quoted strings as single argument,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,parses command with unquoted arguments,OK/OK,OK/OK,OK/OK,OK/OK
,parseCommandArgs,parses simple command with no arguments,OK/OK,OK/OK,OK/OK,OK/OK
,multi-line pipeline execution,multi-line shell script executes all lines,--/OK,--/OK,--/OK,OK/OK
,script_utils parsing,parseStdinCommand extracts command and content,OK/OK,OK/OK,OK/OK,OK/OK
,script_utils parsing,isStdinCommand rejects invalid formats,OK/OK,OK/OK,OK/OK,OK/OK
,script_utils parsing,isStdinCommand detects stdin prefix with newline,OK/OK,OK/OK,OK/OK,OK/OK
,script_utils parsing,extractScriptBody extracts content after shell\n,OK/OK,OK/OK,OK/OK,OK/OK
,script_utils parsing,isMultiLineShellScript rejects non-multiline,OK/OK,OK/OK,OK/OK,OK/OK
,script_utils parsing,isMultiLineShellScript detects shell\n prefix,OK/OK,OK/OK,OK/OK,OK/OK
,BuiltinCommands.isBuiltin,returns false for ambiguous or unknown commands,OK/OK,OK/OK,OK/OK,OK/OK
,buildkit,--dry-run after pipeline name prevents execution (bug #15),--/OK,--/OK,--/OK,-/OK
,,(setUpAll),X/OK,X/OK,X/OK,--/OK
